q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
105.910,5.160,135.990,64.368,-75.149,-179.716,a_4,-1.798,0.219,-0.137,-0.105,-0.547,3.267,0.789,4.309,-0.705,-0.140,1.428,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
105.470,5.106,106.337,18.931,95.042,161.794,theta_4,-7.097,-0.237,0.053,0.040,-0.622,0.303,0.003,2.124,-0.302,-0.369,0.602,3.245,-0.014,0.089,-0.004,-0.005,0.050,0.005,0.001,-0.013,-0.002,0.039,-0.002,0.000,-0.000
105.581,5.048,109.344,14.063,96.222,345.768,theta_4,-6.869,0.957,-0.057,-0.043,-0.591,0.259,0.011,1.875,-0.304,-0.306,0.565,2.931,-0.010,0.075,-0.010,-0.004,0.034,0.006,0.001,-0.010,-0.001,0.030,-0.001,0.000,-0.000
105.426,5.109,104.425,23.946,80.753,109.662,theta_4,-6.672,0.046,1.054,0.805,-0.619,0.299,-0.017,2.063,-0.305,-0.441,0.655,3.440,-0.016,0.102,-0.003,-0.006,0.055,0.005,0.000,-0.014,-0.003,0.043,-0.002,0.000,-0.000
105.444,5.104,103.920,25.284,78.161,-274.397,theta_4,-6.510,0.293,1.238,0.946,-0.622,0.299,-0.019,2.029,-0.308,-0.460,0.668,3.487,-0.009,0.108,-0.004,-0.005,0.055,0.005,0.001,-0.014,-0.002,0.042,-0.002,0.000,-0.000
105.708,5.128,107.649,13.961,110.059,299.146,theta_4,-6.364,0.829,-0.970,-0.741,-0.623,0.329,0.050,1.983,-0.305,-0.276,0.533,3.098,-0.001,0.092,-0.003,-0.002,0.037,0.003,0.000,-0.006,0.000,0.019,-0.001,0.000,-0.000
105.482,4.840,107.335,11.860,114.919,260.020,theta_4,-6.098,0.443,-1.344,-1.027,-0.609,0.369,0.067,1.990,-0.287,-0.264,0.494,3.142,-0.015,0.087,-0.028,-0.005,0.032,0.013,0.004,-0.013,-0.002,0.039,-0.002,-0.000,-0.000
106.232,5.462,105.437,133.205,-74.112,289.200,theta_4,-4.899,-0.656,0.163,0.125,0.200,-1.612,-0.182,-2.255,0.758,0.001,1.741,3.251,-0.011,0.154,0.031,0.003,-0.041,-0.013,-0.003,0.011,-0.007,-0.032,0.001,0.000,-0.000
105.990,5.316,96.291,143.635,-101.394,12.329,theta_4,-4.701,-0.598,-0.657,-0.502,0.109,-1.840,-0.637,-3.086,0.788,-0.123,1.732,4.075,0.001,0.245,0.016,0.001,-0.076,-0.006,-0.002,0.003,-0.002,-0.008,0.000,0.000,-0.000
106.291,5.593,95.340,-180.000,-82.704,258.820,theta_4,-4.337,-0.254,0.884,0.675,-0.101,-1.963,-0.368,-3.676,1.300,0.700,1.439,4.158,-0.011,0.256,0.045,0.004,-0.054,-0.018,-0.005,0.013,-0.008,-0.038,0.002,0.000,-0.000
106.207,5.611,92.721,-180.000,-84.425,282.135,theta_4,-4.326,-0.481,0.775,0.592,-0.075,-2.056,-0.387,-4.008,1.288,0.638,1.455,4.393,-0.011,0.278,0.046,0.003,-0.041,-0.018,-0.005,0.010,-0.005,-0.029,0.001,0.000,-0.000
106.404,5.579,98.751,-180.000,-85.916,225.843,theta_4,-4.315,0.060,0.785,0.599,-0.149,-1.834,-0.407,-3.271,1.306,0.777,1.425,3.838,-0.011,0.231,0.045,0.005,-0.074,-0.019,-0.004,0.017,-0.012,-0.051,0.002,0.000,-0.000
