q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,a_5,theta_6,alpha_6,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
7.159,31.924,129.036,23.906,-116.899,164.189,9.000,-0.562,0.538,0.000,-0.698,0.709,0.606,1.768,1.623,1.229,-0.136,-1.446,-1.007,0.542,-1.012,-0.001,-0.279,0.836,0.429,-0.075,-0.065,-0.247,0.698,0.066,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
15.041,19.821,-28.648,-146.387,-80.815,137.295,10.000,-1.680,0.489,-0.221,-0.361,0.214,0.551,2.140,1.168,1.652,-0.319,0.501,-6.118,1.858,-1.225,1.965,-0.409,-0.188,0.116,0.051,0.003,0.017,-0.048,-0.000,0.000,-0.000
21.390,32.503,146.831,-111.935,89.742,-46.315,10.000,-0.937,-0.013,-0.000,0.013,0.017,-0.015,-0.396,-0.345,0.003,0.363,-0.028,1.527,-0.387,-0.181,0.030,0.267,-0.898,-0.848,-0.034,0.020,0.195,-0.631,0.081,-0.000,-0.000
22.926,34.382,148.635,-120.647,86.794,-39.057,10.000,-0.934,0.060,0.000,-0.084,-0.018,0.067,-0.593,-0.331,0.038,0.438,-0.163,1.912,-0.477,-0.200,0.031,0.344,-1.129,-1.079,-0.036,0.020,0.249,-0.774,0.100,-0.000,-0.000
23.670,35.705,150.102,-127.772,83.133,-22.353,10.000,-0.927,0.079,0.000,-0.253,-0.063,0.089,-0.803,-0.209,0.080,0.492,-0.270,2.186,-0.547,-0.224,0.027,0.428,-1.306,-1.238,-0.036,0.017,0.276,-0.846,0.110,-0.000,-0.000
-0.130,44.517,141.194,-153.995,88.695,60.084,10.000,-0.924,-0.055,0.000,-0.057,-0.140,-0.062,-1.206,0.654,-0.013,0.929,0.273,-3.161,-1.248,0.168,0.159,-0.365,1.928,1.337,-0.207,-0.124,-0.395,1.400,0.133,0.000,-0.000
-0.830,45.982,141.542,-158.060,91.400,49.051,10.000,-0.923,-0.111,0.000,-0.160,-0.110,-0.125,-1.382,0.616,0.014,0.959,0.396,-3.388,-1.335,0.174,0.172,-0.372,2.066,1.470,-0.220,-0.127,-0.405,1.470,0.142,0.000,-0.000
-0.983,46.141,142.724,-159.872,92.763,36.153,10.000,-0.921,-0.120,0.000,-0.263,-0.092,-0.136,-1.509,0.514,0.028,0.962,0.440,-3.485,-1.416,0.261,0.180,-0.377,2.119,1.500,-0.217,-0.126,-0.409,1.487,0.146,-0.000,-0.000
-1.927,47.486,142.475,-166.593,98.227,19.609,10.000,-0.918,-0.055,0.000,-0.445,-0.037,-0.062,-1.734,0.406,0.079,1.032,0.537,-3.681,-1.465,0.189,0.189,-0.404,2.211,1.640,-0.230,-0.133,-0.420,1.579,0.155,0.000,-0.000
-1.674,46.668,143.083,-166.632,100.328,6.645,10.000,-0.914,0.052,0.000,-0.525,-0.007,0.059,-1.763,0.282,0.099,1.025,0.467,-3.652,-1.437,0.283,0.179,-0.408,2.238,1.598,-0.211,-0.125,-0.421,1.558,0.157,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
14.650,24.050,122.597,-49.725,67.177,146.086,11.000,-6.641,0.169,-0.012,-0.508,-0.341,1.942,0.190,0.214,0.054,-0.103,0.480,-0.085,2.061,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000
14.650,24.050,122.495,-49.554,68.079,147.625,11.000,-6.641,0.148,-0.012,-0.520,-0.327,1.958,0.166,0.216,0.054,-0.104,0.482,-0.085,2.072,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000
14.650,24.050,122.205,-49.202,71.673,153.522,11.000,-6.623,0.059,-0.011,-0.559,-0.272,2.007,0.066,0.222,0.055,-0.105,0.488,-0.084,2.104,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000
14.815,24.507,84.076,-179.909,-83.379,-76.403,11.000,-5.961,0.261,-0.089,-0.206,-0.363,-0.326,0.294,-1.294,1.800,0.669,0.566,-0.802,5.246,-0.086,0.490,0.053,-0.017,-0.030,-0.004,0.001,0.007,-0.021,0.001,-0.000,-0.000
14.650,24.050,145.445,-92.436,91.976,-8.110,11.000,-5.304,0.095,0.018,-0.169,0.033,-0.408,0.107,0.170,-0.028,0.214,-0.071,0.054,-0.473,0.000,0.002,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
14.612,23.966,117.631,-20.835,104.796,-97.982,12.000,-7.403,0.320,0.000,-0.338,0.163,0.360,1.467,-0.311,0.160,-0.345,-0.604,-0.064,1.852,-3.405,0.086,-0.012,-0.007,0.001,0.001,-0.000,-0.002,0.004,0.000,0.000,-0.000
