q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,alpha_3,a_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
252.172,45.000,-152.926,42.721,-124.575,-285.120,a_1,-1.497,-0.185,0.458,0.350,0.071,-2.603,-0.920,-0.487,0.235,-0.410,1.221,-2.233,-1.015,-0.091,-3.629,-0.110,-0.460,-0.561,0.561,5.775,-0.674,0.129,1.707,0.000,-0.000
266.780,61.139,-12.252,131.032,80.000,116.194,a_1,-1.489,-1.118,0.447,0.342,0.450,-1.196,-0.637,-0.451,0.400,0.839,-0.480,-1.285,-0.311,1.800,-1.943,-0.482,-2.534,-0.480,0.647,5.447,-3.819,0.687,1.722,0.000,-0.000
-68.065,86.025,1.444,-95.071,180.000,54.119,a_1,-1.486,0.016,-0.479,-0.366,-0.096,-3.508,-0.991,-3.724,1.047,0.164,1.190,-0.301,-1.266,1.752,-5.566,-0.100,-0.886,3.133,0.878,1.376,2.199,1.148,1.955,-0.000,-0.000
-89.611,65.010,12.785,-109.493,-95.000,335.871,a_1,-1.480,-1.296,-0.213,-0.163,0.638,-1.634,-0.331,-3.239,0.672,0.949,1.316,0.120,-1.243,1.798,-3.867,-0.456,-2.441,-0.147,0.729,4.036,-3.390,0.680,1.806,-0.000,-0.000
-66.873,82.881,0.178,-93.112,180.000,359.082,a_1,-1.478,-0.433,-0.926,-0.708,-0.156,-3.528,-0.973,-3.727,1.053,0.258,1.250,0.409,-1.076,1.792,-4.438,-0.086,-0.953,3.337,0.813,2.358,2.626,1.589,1.926,-0.000,-0.000
257.988,64.109,6.709,-111.877,-91.239,-56.635,a_1,-1.476,-1.243,-0.669,-0.511,0.596,-2.618,-0.463,-1.996,0.469,0.608,1.262,-0.989,-1.165,1.785,-3.961,-0.423,-1.158,-1.029,0.738,3.882,-4.047,0.073,1.781,0.000,-0.000
-85.562,53.167,20.428,-114.662,-94.999,268.310,a_1,-1.471,-1.340,-0.480,-0.366,0.583,-2.086,-0.265,-1.560,0.550,0.185,1.291,-1.677,-1.282,1.829,-5.326,-0.375,-2.021,0.368,0.683,4.246,-1.999,1.011,1.821,0.000,-0.000
-78.950,73.647,4.651,-84.960,-156.910,-72.733,a_1,-1.469,-1.291,0.092,0.070,0.110,-4.111,-0.998,-3.996,1.132,0.736,1.277,-0.296,-1.301,1.821,-4.606,-0.122,-0.200,1.879,0.792,3.099,1.425,1.286,1.906,0.000,-0.000
269.441,62.536,7.477,-84.999,-142.246,234.158,a_1,-1.467,-1.245,0.770,0.588,0.224,-4.340,-1.037,-2.861,1.007,0.688,1.346,-0.997,-1.333,1.843,-4.300,-0.182,0.094,0.556,0.723,4.176,-0.114,0.907,1.844,0.000,-0.000
268.311,69.990,15.734,-89.468,-85.382,268.070,a_1,-1.467,-1.364,0.156,0.119,0.669,-1.921,-0.207,-3.736,1.115,1.198,1.262,0.307,-1.480,1.755,-4.512,-0.438,-1.968,-0.308,0.784,3.195,-3.483,0.449,1.839,0.000,-0.000
-69.235,86.244,0.112,-86.197,179.971,359.882,a_1,-1.462,-0.548,-0.927,-0.708,-0.132,-3.553,-0.976,-4.291,1.197,0.771,1.190,0.180,-1.196,1.766,-4.988,-0.093,-0.739,3.141,0.854,1.732,2.254,1.252,1.948,0.000,-0.000
